session_id,experiment,variant,x,metric,value
7e6c8b9fba8e,modes,compile_graph_paired,1,latency_us,8.39999970048666
7e6c8b9fba8e,modes,compile_graph_paired,1,kernel_launches,3.0
7e6c8b9fba8e,mechanism,chain_paired,1,fusion_speedup,1.329067624855439
7e6c8b9fba8e,mechanism,chain_paired,1,graph_speedup,4.886111269372248
7e6c8b9fba8e,mechanism,chain_paired,1,combined_speedup,14.985237982307309
7e6c8b9fba8e,mechanism,chain_paired,1,fused_gbps,0.22705099811993007
7e6c8b9fba8e,mechanism,chain_paired,1,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager_paired,8,latency_us,167.54800081253052
7e6c8b9fba8e,modes,eager_paired,8,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_paired,8,latency_us,89.61299806833267
7e6c8b9fba8e,modes,compile_paired,8,kernel_launches,2.0
7e6c8b9fba8e,modes,graph_paired,8,latency_us,33.747000619769096
7e6c8b9fba8e,modes,graph_paired,8,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph_paired,8,latency_us,8.375000208616257
7e6c8b9fba8e,modes,compile_graph_paired,8,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain_paired,8,fusion_speedup,1.8696841353836862
7e6c8b9fba8e,mechanism,chain_paired,8,graph_speedup,4.964826435993852
7e6c8b9fba8e,mechanism,chain_paired,8,combined_speedup,20.005730941971322
7e6c8b9fba8e,mechanism,chain_paired,8,fused_gbps,1.9197215103641585
7e6c8b9fba8e,mechanism,chain_paired,8,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager_paired,32,latency_us,167.26600378751755
7e6c8b9fba8e,modes,eager_paired,32,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_paired,32,latency_us,91.59800037741661
7e6c8b9fba8e,modes,compile_paired,32,kernel_launches,2.0
7e6c8b9fba8e,modes,graph_paired,32,latency_us,41.582999750971794
7e6c8b9fba8e,modes,graph_paired,32,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph_paired,32,latency_us,7.898000068962574
7e6c8b9fba8e,modes,compile_graph_paired,32,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain_paired,32,fusion_speedup,1.8260879396746832
7e6c8b9fba8e,mechanism,chain_paired,32,graph_speedup,4.022461217065239
7e6c8b9fba8e,mechanism,chain_paired,32,combined_speedup,21.178273275134124
7e6c8b9fba8e,mechanism,chain_paired,32,fused_gbps,7.512478407439747
7e6c8b9fba8e,mechanism,chain_paired,32,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager_paired,128,latency_us,167.8140014410019
7e6c8b9fba8e,modes,eager_paired,128,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_paired,128,latency_us,92.26300194859505
